claim_id,claim_language,model,original_verdict,claim_text,raw_response,reasoning_category,reasoning_reason
2550,hindi,google/gemini-2.5-flash-lite,FAKE,"रिपब्लिक पोल नाम के एक नकली ट्विटर अकाउंट अपने विवादास्पद पोल के कारण नेटिज़न्स के गुस्से का शिकार बन रहा है। पत्रकारों सहित कई ट्विटर यूज़र इस अकाउंट को चैनल का आधिकारिक अकाउंट मान रहे हैं।

","Here's a thinking process to fact-check the claim:

1.  **What is the claim asserting?**
    *   There's a fake Twitter account named ""रिपब्लिक पोल"" (Republic Poll).
    *   This account is facing anger from netizens due to controversial polls.
    *   Many Twitter users, including journalists, are mistaking this fake account for the official account of a channel (presumably Republic TV, given the name).

2.  **What do you know about this topic?**
    *   **""रिपब्लिक"" (Republic):** This strongly",UNPARSEABLE,
298,hindi,deepseek/deepseek-v4-flash,FAKE,"भूख हड़ताल के दौरान तजिंदर सिंह बग्गा ने समोसे खाए हैं।

भूख हड़ताल पर बैठे तजिंदर बग्गा ने नहीं खाया था खाना

","1. **What is the claim asserting?**  
   The claim states that Tajinder Singh Bagga ate samosas during a hunger strike. The second sentence (in Hindi) contradicts this by saying he did not eat food during the hunger strike. So the claim is essentially asserting that he broke his hunger strike by eating samosas.

2. **What do you know about this topic?**  
   Tajinder Singh Bagga is an Indian politician and activist who has conducted hunger strikes as a form of protest. In past instances, there h",KNOWLEDGE_GAP,"The model's response trails off, indicating it lacks the specific factual knowledge to confirm or deny whether Tajinder Singh Bagga ate samosas during a hunger strike."
5273,hindi,deepseek/deepseek-v4-flash,UNCERTAIN,"व्हुआन मार्केट। चाइना, #कोरोना वायरस की उत्पत्ति।","The claim asserts that the Wuhan market in China is the definitive origin of the coronavirus (COVID-19). While early cases were linked to the Huanan Seafood Wholesale Market, scientific investigations have not conclusively determined the virus's origin. The WHO and multiple studies note that the market may have amplified spread but is not necessarily the source. The claim omits this uncertainty and presents a simplified, unverified assertion.

VERDICT: UNCERTAIN",CORRECT_REASONING,The model correctly identifies that the claim oversimplifies the scientific understanding of the virus's origin and accurately points out the nuance that the Wuhan market may have amplified spread but is not definitively the source.
3364,hindi,deepseek/deepseek-v4-flash,FAKE,कराची में जिन्ना गार्डन इलाके में पाकिस्तान इंटरनेशनल एयरलाइंस की 8303 का क्रैश होने से पहले का आखिरी फोटो,"**Step-by-step assessment:**

1. **What the claim asserts:**  
   The claim states that a specific photograph shows the final moments before the crash of Pakistan International Airlines (PIA) Flight 8303 in the ""Jinnah Garden"" area of Karachi. It labels the image as the last photo taken prior to the accident.

2. **What is known about this topic:**  
   - PIA Flight 8303 (an Airbus A320) crashed on May 22, 2020, in a residential area of Karachi, near Model Colony, while attempting to land at Jin",CORRECT_REASONING,The model correctly identifies the core assertion of the claim and begins to provide relevant factual information about the event.
3509,hindi,google/gemini-2.5-flash-lite,FAKE,"राहुल गाँधी की जीत के बाद पाकिस्तान के झंडे लहराए गए |

","Here's a step-by-step assessment of the claim:

1.  **What is the claim asserting?**
    The claim asserts that after Rahul Gandhi's victory (implying a specific election win), Pakistani flags were waved.

2.  **What do you know about this topic?**
    *   Rahul Gandhi is a prominent Indian politician and a leader of the Indian National Congress.
    *   India and Pakistan have a complex and often tense relationship.
    *   The waving of Pakistani flags in India is a highly sensitive issue and ",KNOWLEDGE_GAP,The model correctly identifies the sensitivity of the issue but does not provide specific factual information to confirm or deny the claim.
3509,hindi,deepseek/deepseek-v4-flash,FAKE,"राहुल गाँधी की जीत के बाद पाकिस्तान के झंडे लहराए गए |

","1. **What is the claim asserting?**  
   The claim states that after Rahul Gandhi’s (electoral) victory, flags of Pakistan were waved. This implies that supporters or individuals celebrated his win by displaying Pakistani flags, which would suggest a link between Rahul Gandhi and pro-Pakistan sentiment.

2. **What do you know about this topic?**  
   Rahul Gandhi is an Indian politician and a prominent leader of the Indian National Congress. His electoral victories or political events are typica",KNOWLEDGE_GAP,"The model stops mid-sentence when describing its knowledge about Rahul Gandhi, indicating it lacks the necessary information to fully assess the claim."
153,english,deepseek/deepseek-v4-flash,FAKE,"Naseeruddin Shah's health also deteriorated, admitted to hospital. Oh God, don't give any such news now because you have the capacity to bear it, may God give you a long life.","1. **What is the claim asserting?**  
   The claim states that actor Naseeruddin Shah’s health has deteriorated and that he has been admitted to a hospital. It also includes an emotional plea and a prayer for his long life.

2. **What do you know about this topic?**  
   As of my last knowledge update (October 2023), there is no verified news or credible report about Naseeruddin Shah being hospitalized due to a health deterioration. He is a well-known Indian actor, and any such serious health ev",CORRECT_REASONING,The model correctly identifies that there is no verified information to support the claim about Naseeruddin Shah's health deterioration and hospitalization.
2550,english,google/gemini-2.5-flash-lite,FAKE,"A fake Twitter account named Republic Poll is drawing the ire of netizens due to its controversial poll. Many Twitter users, including journalists, consider this account to be the official account of ","Here's a step-by-step assessment of the claim:

1.  **What is the claim asserting?**
    The claim asserts two main points:
    *   There is a fake Twitter account named ""Republic Poll.""
    *   This fake account is causing controversy due to a poll it posted.
    *   Many Twitter users, including journalists, mistakenly believe this fake account is the official account of ""Republic"" (presumably a news channel).

2.  **What do you know about this topic?**
    *   **""Republic"" as a News Channel:*",UNPARSEABLE,
2550,english,deepseek/deepseek-v4-flash,FAKE,"A fake Twitter account named Republic Poll is drawing the ire of netizens due to its controversial poll. Many Twitter users, including journalists, consider this account to be the official account of ","Let’s break this down step by step.

**1. What is the claim asserting?**  
The claim says there is a fake Twitter account called “Republic Poll” that is upsetting netizens with controversial polls, and that many Twitter users—including journalists—mistake it for the official account of the news channel Republic (presumably Republic TV or Republic Bharat).

**2. What do you know about this topic?**  
- Republic TV is an Indian news channel. Its official Twitter handle is @republic.  
- There have",KNOWLEDGE_GAP,"The model stops mid-sentence, indicating it lacks the complete factual knowledge to fully assess the claim."
123,english,deepseek/deepseek-v4-flash,FAKE,"great news 

The UP government gave permission to run the buses sent by Congress. #shameful
This is not a train #Modi_T This is not a jam #Priyanka_Gandhi ji has prepared 1000 buses in Uttar Pradesh t","Let’s break this down step by step.

**1. What is the claim asserting?**  
The claim says that the Uttar Pradesh (UP) government (led by Yogi Adityanath) initially did not give permission for buses arranged by Congress leader Priyanka Gandhi to transport migrant laborers home, but later gave permission. It also uses hashtags like #shameful and #Modi_T to criticize the government, implying deliberate obstruction.

**2. What do you know about this topic?**  
During the COVID-19 lockdown in 2020, t",KNOWLEDGE_GAP,The model's response is cut off before it can provide any factual information or analysis to assess the claim.
1266,english,deepseek/deepseek-v4-flash,FAKE,"Not even 24 hours have passed since Congress's victory and slogans have started like, ""We will take Babri Masjid, Pakistan Zindabad.""","The claim asserts that immediately following a victory by the Indian National Congress (Congress party), slogans such as ""We will take Babri Masjid, Pakistan Zindabad"" have emerged, implying Congress supporters or allies are promoting pro-Pakistan sentiments and the rebuilding of the Babri Masjid site.

There is no verifiable, recent news or credible evidence of such slogans being chanted after any Congress electoral victory. The Babri Masjid demolition in 1992 remains a highly sensitive issue i",CORRECT_REASONING,The model correctly identifies the lack of verifiable evidence for the claim and points to the sensitivity of the Babri Masjid issue.
