claim_id,claim_language,gold_label,source,claim_text,model,raw_response,verdict
et_5136,estonian_native,fake,euvsdisinfo-native,"The EU is creating a poverty belt in its east, consisting of Ukraine, the Baltic States and now Belarus, in order to secure access to cheap labour and sales markets. It has been the economic survival ",google/gemini-2.5-flash-lite,UNCERTAIN,UNCERTAIN
et_5136,estonian_native,fake,euvsdisinfo-native,"The EU is creating a poverty belt in its east, consisting of Ukraine, the Baltic States and now Belarus, in order to secure access to cheap labour and sales markets. It has been the economic survival ",deepseek/deepseek-v4-flash,FAKE,FAKE
et_11383,estonian_native,fake,euvsdisinfo-native,In the movie about the Forest Brothers NATO is praising the shameful former SS soldiers and nationalists.,google/gemini-2.5-flash-lite,UNCERTAIN,UNCERTAIN
et_11383,estonian_native,fake,euvsdisinfo-native,In the movie about the Forest Brothers NATO is praising the shameful former SS soldiers and nationalists.,deepseek/deepseek-v4-flash,FAKE,FAKE
et_9851,estonian_native,fake,euvsdisinfo-native,Estonia has forbidden veterans of the Leningrad blockade to wear medals and to talk about the war.,google/gemini-2.5-flash-lite,FAKE,FAKE
et_9851,estonian_native,fake,euvsdisinfo-native,Estonia has forbidden veterans of the Leningrad blockade to wear medals and to talk about the war.,deepseek/deepseek-v4-flash,FAKE,FAKE
et_1434,estonian_native,fake,euvsdisinfo-native,"One of the tasks [of the American policy] is to weaken Russia, isolate it from global geopolitical processes and gain some profits from the sale of American LNG to Europe (that is the reason for the f",google/gemini-2.5-flash-lite,UNCERTAIN,UNCERTAIN
et_1434,estonian_native,fake,euvsdisinfo-native,"One of the tasks [of the American policy] is to weaken Russia, isolate it from global geopolitical processes and gain some profits from the sale of American LNG to Europe (that is the reason for the f",deepseek/deepseek-v4-flash,[API_ERROR: 'NoneType' object has no attribute 'strip'],UNPARSEABLE
et_7474,estonian_native,fake,euvsdisinfo-native,Sputnik News Agency is suffering an unprecedented persecution in Estonia. The country’s authorities unleashed a campaign aiming to block the work of Sputnik Estonia and deprive audiences of an alterna,google/gemini-2.5-flash-lite,UNCERTAIN,UNCERTAIN
et_7474,estonian_native,fake,euvsdisinfo-native,Sputnik News Agency is suffering an unprecedented persecution in Estonia. The country’s authorities unleashed a campaign aiming to block the work of Sputnik Estonia and deprive audiences of an alterna,deepseek/deepseek-v4-flash,FAKE,FAKE
et_7285,estonian_native,fake,euvsdisinfo-native,"Moscow currently regards the Treaty of Tartu as a historical document that lost its legal force long ago. In 1944, Estonia joined the Soviet Union.",google/gemini-2.5-flash-lite,REAL,REAL
et_7285,estonian_native,fake,euvsdisinfo-native,"Moscow currently regards the Treaty of Tartu as a historical document that lost its legal force long ago. In 1944, Estonia joined the Soviet Union.",deepseek/deepseek-v4-flash,FAKE,FAKE
et_10890,estonian_native,fake,euvsdisinfo-native,Economies of the Baltic countries can’t make progress when the countries are EU members. [—] The only real solution for the Baltic economies is integration to the Russian market.,google/gemini-2.5-flash-lite,FAKE,FAKE
et_10890,estonian_native,fake,euvsdisinfo-native,Economies of the Baltic countries can’t make progress when the countries are EU members. [—] The only real solution for the Baltic economies is integration to the Russian market.,deepseek/deepseek-v4-flash,FAKE,FAKE
et_6960,estonian_native,fake,euvsdisinfo-native,"Estonian intelligence exerts a variety of methods to pressure the opposition and independent politicians, public figures, human rights activists and journalists who represent a point of view inconsist",google/gemini-2.5-flash-lite,UNCERTAIN,UNCERTAIN
et_6960,estonian_native,fake,euvsdisinfo-native,"Estonian intelligence exerts a variety of methods to pressure the opposition and independent politicians, public figures, human rights activists and journalists who represent a point of view inconsist",deepseek/deepseek-v4-flash,FAKE,FAKE
et_12578,estonian_native,fake,euvsdisinfo-native,Estonia (and all three of the Baltic states) are preparing for war with Russia.,google/gemini-2.5-flash-lite,UNCERTAIN,UNCERTAIN
et_12578,estonian_native,fake,euvsdisinfo-native,Estonia (and all three of the Baltic states) are preparing for war with Russia.,deepseek/deepseek-v4-flash,UNCERTAIN,UNCERTAIN
et_1816,estonian_native,fake,euvsdisinfo-native,"The events in Syria, Afghanistan and Ukraine showed that it is better not to hope to get help from the US in the critical situation. The US also has interests in Lithuania, Latvia, Estonia. It is usin",google/gemini-2.5-flash-lite,UNCERTAIN,UNCERTAIN
et_1816,estonian_native,fake,euvsdisinfo-native,"The events in Syria, Afghanistan and Ukraine showed that it is better not to hope to get help from the US in the critical situation. The US also has interests in Lithuania, Latvia, Estonia. It is usin",deepseek/deepseek-v4-flash,UNCERTAIN,UNCERTAIN
et_14112,estonian_native,fake,euvsdisinfo-native,USA supported and still supports pro-fascist movement in Ukraine. They started with their projects in early 1950s. They have used similar programs in the Baltics as well and nowadays the hammer and si,google/gemini-2.5-flash-lite,FAKE,FAKE
et_14112,estonian_native,fake,euvsdisinfo-native,USA supported and still supports pro-fascist movement in Ukraine. They started with their projects in early 1950s. They have used similar programs in the Baltics as well and nowadays the hammer and si,deepseek/deepseek-v4-flash,FAKE,FAKE
et_4210,estonian_native,fake,euvsdisinfo-native,"Lithuania, Latvia, Estonia together with Russia and Belarus are part of the BRELL energy ring. The Baltic States want to disconnect from this ring and synchronise their grids with the rest of Europe t",google/gemini-2.5-flash-lite,REAL,REAL
et_4210,estonian_native,fake,euvsdisinfo-native,"Lithuania, Latvia, Estonia together with Russia and Belarus are part of the BRELL energy ring. The Baltic States want to disconnect from this ring and synchronise their grids with the rest of Europe t",deepseek/deepseek-v4-flash,REAL,REAL
et_14124,estonian_native,fake,euvsdisinfo-native,USA supported and still supports pro-fascist movement in Ukraine. They started with their projects in early 1950s. They have used similar programs in the Baltics as well and nowadays the hammer and si,google/gemini-2.5-flash-lite,FAKE,FAKE
et_14124,estonian_native,fake,euvsdisinfo-native,USA supported and still supports pro-fascist movement in Ukraine. They started with their projects in early 1950s. They have used similar programs in the Baltics as well and nowadays the hammer and si,deepseek/deepseek-v4-flash,FAKE,FAKE
et_2594,estonian_native,fake,euvsdisinfo-native,Military maneuvers in Estonia are held as part of the Spring Storm exercise. The members of the NATO bloc are working out the scenario of an attack on Russia. Great Britain and France have transferred,google/gemini-2.5-flash-lite,UNCERTAIN,UNCERTAIN
