claim_id,model,prompt_strategy,verdict_hindi,verdict_english,verdict_estonian,consistent,n_unique
123,deepseek/deepseek-v4-flash,chain_of_thought,UNPARSEABLE,FAKE,UNPARSEABLE,True,1
123,deepseek/deepseek-v4-flash,persona,UNPARSEABLE,FAKE,UNPARSEABLE,True,1
123,deepseek/deepseek-v4-flash,zero_shot,UNPARSEABLE,FAKE,FAKE,True,1
123,google/gemini-2.5-flash-lite,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
123,google/gemini-2.5-flash-lite,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
123,google/gemini-2.5-flash-lite,zero_shot,FAKE,FAKE,FAKE,True,1
123,meta-llama/llama-3.3-70b-instruct:free,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
123,meta-llama/llama-3.3-70b-instruct:free,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
123,meta-llama/llama-3.3-70b-instruct:free,zero_shot,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
123,qwen/qwen3-235b-a22b:free,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
123,qwen/qwen3-235b-a22b:free,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
123,qwen/qwen3-235b-a22b:free,zero_shot,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
153,deepseek/deepseek-v4-flash,chain_of_thought,UNPARSEABLE,FAKE,FAKE,True,1
153,deepseek/deepseek-v4-flash,persona,UNPARSEABLE,FAKE,UNPARSEABLE,True,1
153,deepseek/deepseek-v4-flash,zero_shot,UNCERTAIN,FAKE,FAKE,False,2
153,google/gemini-2.5-flash-lite,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
153,google/gemini-2.5-flash-lite,persona,UNPARSEABLE,UNPARSEABLE,UNCERTAIN,True,1
153,google/gemini-2.5-flash-lite,zero_shot,UNCERTAIN,UNCERTAIN,UNPARSEABLE,True,1
153,meta-llama/llama-3.3-70b-instruct:free,chain_of_thought,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
153,meta-llama/llama-3.3-70b-instruct:free,persona,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
153,meta-llama/llama-3.3-70b-instruct:free,zero_shot,UNPARSEABLE,UNPARSEABLE,UNPARSEABLE,False,0
