Date,Links,Title,Outlets,Country,Disinformation,Information,claim_text,claim_language,gold_label,source,id
31.08.2022,/report/western-secret-services-together-with-the-terrorist-ukrainian-state-are-behind-the-assassination-of-darya-dugina,"Western secret services, together with the terrorist Ukrainian state, are behind the assassination of Darya Dugina",,"Ukraine,Estonia,Russia","Everything in the case of Darya Dugina indicates that not only the Ukrainian state, which has long since become a terrorist, is behind the terrorist attack, but also Western intelligence services, for example, the Estonian one. ","Pro-Kremlin disinformation about Ukraine, Estonia and their secret services.There is no evidence to substantiate the claims that Ukraine, Estonia or any other country was behind the assassination of Darya Dugina in Moscow, daughter of Alexander Dugin.Russia has almost immediately accused Ukraine of the assassination, providing only dubious ""evidence"", (see also: here and here) that cannot be independently verified. Ukraine has denied any involvement in the attack, the same goes for Estonia.The EU condemns all attacks on civilians, including the car explosion in the Moscow region which killed Ms. Darya Dugina on Saturday 20 August 2022. The EU considers a full and impartial investigation of the incident important.A couple of days later, an organisation called The National Republican Army took responsibility for the incident. Former Russian MP Ilya Ponomarev claims that the organisation represents a Russian partisan movement dedicated to overthrowing the Putin regime.See related pro-Kremlin disinformation claims alleging various conspiracies against Russia by foreign secret services.See similar claims that British intelligence may be behind the assassination of Darya Dugina, that Ukraine, Estonia and Great Britain killed DaryaDugina, that Darya Dugina was killed by Ukrainian terrorists, that Ukrainian secret services are behind the murder of the daughter of Alexander Dugin, that The emerging evidence confirms Kyiv’s complicity in the murder of Darya Dugina, that The assassination of Darya Dugina is a new shift in the war between Russia and the West. ","Everything in the case of Darya Dugina indicates that not only the Ukrainian state, which has long since become a terrorist, is behind the terrorist attack, but also Western intelligence services, for example, the Estonian one. ",estonian_native,fake,euvsdisinfo-native,et_278
23.08.2022,/report/the-us-is-pushing-europe-into-the-abyss,The US is pushing Europe into the abyss,baltnews.com,"Russia,Ukraine,US,Lithuania,Latvia,Estonia,Poland,Czech Republic,Finland,Europe","The US is pushing Europe into the abyss because they forced the EU to abandon Russian sources of energy, break the economic cooperation with Russia, and close Europe to Russian citizens. The main puppets of the US in Europe are the United Kingdom and non-sovereign states such as Lithuania, Latvia, Estonia, and Ukraine. Poland, the Czech Republic and Finland follow this Russophobic coalition too. Washington wants to keep the world under itscontrol and is ready to sacrifice the welfare of European states for this task.","Recurring pro-Kremlin disinformation about sanctions and presenting Europe as the puppet of the US. See our article Key Narratives in Pro-Kremlin Disinformation Part 3: ‘Lost Sovereignty’.Contrary to the claim, the European Union is a sovereign entity created by the voluntary initiative of European nations and it has its own, independent foreign policy, while the US has no say in its decisions. Economic sanctions, including sanctions on the energy sector, were implemented by European Union as a reaction to the unjustified actions of Russia. The first sanctions were imposed in 2014 after Moscow’s illegal annexation of Crimea. The European Union is implementing sanctions on Russia on its own initiative but also coordinates with partners, including the US. See more information about the EU’s sanctions on Russia. See also information on how the EU has been supporting Ukraine since the start of the war on 24 February 2022.Finally, with regard to the comment about banning Russians from entering Europe, a decision to ban Schengen visas for Russian citizens has not been made yet. It will be a topic of discussion at a meeting of the EU foreign ministers in Prague at the end of August 2022. See similar case here.See similar cases: The European Union has finally lost its political sovereignty; The USA is rising imperialistic Poland as a new hyena for Europe; Decisions on Ukraine are not made by Zelenskyy, but by the high ranking officials in the US. ","The US is pushing Europe into the abyss because they forced the EU to abandon Russian sources of energy, break the economic cooperation with Russia, and close Europe to Russian citizens. The main puppets of the US in Europe are the United Kingdom and non-sovereign states such as Lithuania, Latvia, Estonia, and Ukraine. Poland, the Czech Republic and Finland follow this Russophobic coalition too. Washington wants to keep the world under itscontrol and is ready to sacrifice the welfare of European",estonian_native,fake,euvsdisinfo-native,et_307
23.08.2022,/report/ukraine-estonia-and-great-britain-killed-darya-dugina,"Ukraine, Estonia and Great Britain killed Darya Dugina",all-make.net,"Ukraine,UK,Estonia","The terrorist act that killed Darya [Dugina] is a joint military operation, regretfully a successful one, of three secret services: Ukraine, Estonia and Great Britain.","Conspiracy theory and pro-Kremlin disinformation about the UK, Estonia and Ukraine as well as secret services. There is no evidence to substantiate the claims that Ukraine, UK, Estonia or any other country was behind the assassination of Darya Dugina in Moscow, daughter of Alexander Dugin.Russia has almost immediately accused Ukraine of the assassination, providing only dubious ""evidence"", (see also: here and here) that cannot be independently verified. Ukraine has denied any involvement in the attack, the same goes for Estonia.EU condemn all attacks on civilians, including the car explosion in the Moscow region which killed Ms Darya Dugina on Saturday 20 August 2022. The EU consider a full and impartial investigation of the incident important.See related pro-Kremlin disinformation claims alleging various conspiracies against Russia by foreign secret services. This disinformation claim appeared in the same broadcast as an allegation that British intelligence may be behind the assassination of Darya Dugina and that Ukraine is a terrorist state.","The terrorist act that killed Darya [Dugina] is a joint military operation, regretfully a successful one, of three secret services: Ukraine, Estonia and Great Britain.",estonian_native,fake,euvsdisinfo-native,et_310
02.02.2022,/report/anglo-saxons-and-their-central-european-satellites-seek-conflict-with-russia-at-all-costs,Anglo-Saxons and their Central European satellites seek conflict with Russia at all costs,pl.sputniknews.com,"Russia,Ukraine,US,UK,Poland,Germany,France,Lithuania,Latvia,Estonia,Hungary,Croatia","A Polish expert claims that the current crisis with Russia allows the West to rebuild its unity. However, the opposite seems to be true. On the one hand, there is Continental Europe, led by Germany and France, which speak about the need for dialogue with Moscow, intensification of the Normandy Format and a peaceful resolution of existing contradictions. On the other hand, the Anglo-Saxon bloc (UK, US to some extent) and its Central European satellites (Poland, Lithuania, Latvia, Estonia) are blowing the trumpets of war, seeking the conflict with Russia at all costs. The leaders of other countries (Hungary, Croatia) openly declare that they will not be involved in any quarrels related to Ukraine. ","Recurring pro-Kremlin disinformation narratives about Ukrainian statehood and war in Ukraine. These claims are part of an ongoing disinformation campaign about Russia’s military buildup on the border with Ukraine. By accusing the US, UK and Central European countries of being the driving force behind the escalation of tensions, this disinformation story aims to deny any Russian responsibility for the situation.The claim that Poland, the Baltic states, the UK and the USA want to provoke a conflict with Russia is ungrounded. Since late October 2021, Russia has deployed more than 100,000 troops, as well as certain specialised military units, electronic warfare systems and heavy-armoured vehicles along the borders of Ukraine.The European Union has stated that it will be standing firmly and decisively with Ukraine in front of any attempt to undermine its territorial integrity and sovereignty and has warned of severe political consequences with high political and economic costs for Russia if it proceeds with further aggressive actions. This has been recently reaffirmed by EU High Representative Josep Borrell noting “there is no security in Europe without the security of Ukraine.”Read our recent article on 7 myths and pro-Kremlin disinformation about the Russian military buildup near Ukraine.In addition, see other examples of similar disinformation narratives, such as claims that NATO is egging Ukraine on a military gamble, that the US is instigating war on Ukraine to boycott the Nord Stream 2 project, or that The UK wants to provoke a war between Ukraine and Russia in order to harm Europe. ","A Polish expert claims that the current crisis with Russia allows the West to rebuild its unity. However, the opposite seems to be true. On the one hand, there is Continental Europe, led by Germany and France, which speak about the need for dialogue with Moscow, intensification of the Normandy Format and a peaceful resolution of existing contradictions. On the other hand, the Anglo-Saxon bloc (UK, US to some extent) and its Central European satellites (Poland, Lithuania, Latvia, Estonia) are blo",estonian_native,fake,euvsdisinfo-native,et_917
21.01.2022,/report/the-baltic-states-and-poland-force-anti-russian-policies-upon-the-eu-and-nato,The Baltic states and Poland force anti-Russian policies upon the EU and NATO,pl.sputniknews.com,"Poland,Lithuania,Latvia,Estonia,EU","The Russophobic minority, led by the Baltic states and Poland, rules not only in NATO but also in the EU, forcing the continuation of the strong anti-Russian policy.","This message is a part of the Kremlin’s widespread narrative about anti-Russian, Russophobic countries of Eastern and Central Europe, deliberately worsening their relations with Russia, preventing the improvement of the EU-Russian relations and supporting American interests in the region. The claim about Poland and the Baltic states escalating tensions with Russia and preventing the improvement of EU-Russian relations is ungrounded. The dramatic worsening of relations between the EU and Russia took place in 2014 after the illegal annexation of Crimea and Russian armed agression in East Ukraine.The recent deterioration of relations between Russia and the EU is directly linked to Moscow’s illegal actions abroad (violation of international law) and oppression against representatives of civil society inside Russia. Since March 2014, the EU has progressively imposed restrictive measures against Russia in response to the illegal annexation of Crimea and the deliberate destabilisation of Ukraine. New sanctions were introduced after the assassination attempt on Russian opposition activist Alexei Navalny in 2020. The EU has also sanctioned Russian individuals responsible for serious human rights violations, including arbitrary arrests and detentions, as well as widespread and systematic repression of freedom of peaceful assembly and of association, and freedom of opinion and expression in Russia.See also the European Council statement of 24 January 2022. See similar cases such as Russia-EU relations were destroyed by unilateral decisions of Brussels, The EU destroyed relations with Russia, Poland and the EU appear on the verge of breaking relations with Russia and Poland and the “Young Europeans” worsen the relations between the EU and Russia.","The Russophobic minority, led by the Baltic states and Poland, rules not only in NATO but also in the EU, forcing the continuation of the strong anti-Russian policy.",estonian_native,fake,euvsdisinfo-native,et_976
10.12.2021,/report/the-baltic-states-and-poland-are-the-main-provocateurs-of-russophobia-in-europe,The Baltic States and Poland are the main provocateurs of Russophobia in Europe,sputniknews.lt,"Baltic states,Poland,Lithuania,Latvia,Estonia,Russia",The conflict between the West and Russia is beneficial for the Baltic States and Poland. They will not stop being Russophobic because they are getting money for it. They are the main provocateurs of the Russophobic mood in Europe.,"A recurring narrative about Russophobia in the Baltic states and Poland. The Baltic states and Poland are not Russophobic but these countries have clear security concerns linked to Russia. The source of concern is Russia's aggression toward neighbour countries and how it affected the security situation in the region in general. The 2020 National Security Strategy of Poland states that the most serious security threat for this country is the neo-imperial policy of the authorities of the Russian Federation, pursued by means of military force (aggression against Georgia, illegal annexation of Crimea and military actions in eastern Ukraine). The National Security Strategy 2017 of Lithuania notes: “Capacity of the Russian Federation to use military and economic, energy, information and other non-military measures in combination against the neighbouring countries [...] is a challenge to the security of the Republic of Lithuania and the whole Euro-Atlantic community.” The National Security Concepts of Latvia and Estonia follow a similar line, with the latter stressing that European security is affected by Russia’s increased military activity and aggressive behaviour. Read our past analysis about Russophobia in the Baltic states and elsewhere The “Russophobia” Myth: Appealing to the Lowest Feelings and see similar examples of disinformation alleging that Poland and the US are promoting Russophobic hysteria or that Political establishment in the Baltic states, Poland and Ukraine are driven by Russophobia.",The conflict between the West and Russia is beneficial for the Baltic States and Poland. They will not stop being Russophobic because they are getting money for it. They are the main provocateurs of the Russophobic mood in Europe.,estonian_native,fake,euvsdisinfo-native,et_1119
08.12.2021,/report/bidens-stance-on-ukraine-was-a-gesture-to-russophobic-baltics-poland-and-brussels,"Biden’s stance on Ukraine was a gesture to Russophobic Baltics, Poland and Brussels",actualidad.rt.com,"US,Russia,Ukraine,Estonia,Latvia,Lithuania,Poland,EU","Why does Joe Biden continue with his stance on Ukraine, accompanied by an enormous political and media hysteria about an invented Russian invasion? Why has this smokescreen been sold to the media? If the US really doesn’t believe that this is going to happen, why threaten with sanctions? Biden had to sell this speech to gain strength, to calm the Russophobic lust of the Baltics, of Poland, of Brussels entourage, that even before the Biden-Putin meeting called for more sanctions.","This is part of an ongoing disinformation campaign aiming to deny any Russian responsibility for the escalation of tensions with Ukraine as a result of Russia’s military buildup on the border. Regardless of the Russian invasion taking place or not, the threat is not “invented”, nor reporting and denouncing it is “political and media hysteria” or a “smokescreen”, as this disinformation story claims. In fact, military experts and intelligence services of many countries have pointed to some worrying elements, including the deployment of as more than 100,000 troops, as well as of certain specialised military units, electronic warfare systems and heavy-armoured vehicles. This specific disinformation story is a reaction to US president Joe Biden’s statement that makes clear that his government won’t accept Russia’s “red lines” in Ukraine, a stance that he maintained during his video call with Russian President Vladimir Putin on 7 December 2021.Similar positions have been expressed by relevant international actors, such as the G7 foreign ministers. The European Union has stated that it will be standing firmly and decisively with Ukraine in front of any attempt to undermine its territorial integrity and sovereignty and has warned of severe political consequences with a high political and economic cost for Russia if it proceeds with further aggressive actions. Therefore, the claim that Biden expressed this stance as a gesture to other “Russophobic” actors has no basis. Accusing those who call out Russia’s illicit behaviour of “Russophobia” is a frequent pro-Kremlin disinformation technique. See other examples of similar disinformation narratives in our database, such as claims that the West needs Ukraine for NATO bases as Kyiv prepares for a mythical Russian invasion, that Ukrainian officials are obsessed by imaginary invasions and inexistent Russian imperial ambitions, or that Russia sent troops to the Ukrainian border because there was danger for the Russian population in Donbas. Check out seven popular myths abouth Russia's role in the Ukraine conflict here - including the claim of ""russophobic West"". ","Why does Joe Biden continue with his stance on Ukraine, accompanied by an enormous political and media hysteria about an invented Russian invasion? Why has this smokescreen been sold to the media? If the US really doesn’t believe that this is going to happen, why threaten with sanctions? Biden had to sell this speech to gain strength, to calm the Russophobic lust of the Baltics, of Poland, of Brussels entourage, that even before the Biden-Putin meeting called for more sanctions.",estonian_native,fake,euvsdisinfo-native,et_1131
21.11.2021,/report/poland-and-the-baltic-states-commit-only-destructive-acts-in-the-post-soviet-space,Poland and the Baltic states commit only destructive acts in the post-Soviet space,pl.rubaltic.ru,"Poland,Lithuania,Latvia,Estonia,Belarus,Russia","Since Poland and the Baltic states are unable to come up with anything but destructive acts in the post-Soviet space, the main Western countries use the services of these states only when they need these destructive actions. In crisis situations, Poland and the Baltic states are carefully pushed aside and the West solves the problem on its own. This situation always takes place in the case of relations with Russia. Eastern Europe has reconciled with the fact that the leaders of the USA, Germany and France communicate with Putin bypassing them – they do not ask their allies what they think about the dialogue with the Kremlin. However, the talks with Lukashenka behind the backs of Eastern European NATO members is a particular humiliation.","A recurring pro-Kremlin disinformation narrative about “aggressive” countries of Eastern and Central Europe. The second part of this massage presents Poland and the Baltic states as the countries, which have no “voice” in NATO, being the “puppet-states” or colonies of the United States or the EU. Poland and the Baltic states are often groundlessly presented as anti-Russian, Russophobic countries involved in destructive actions in the post-Soviet space (such as organisation of a colour revolution in Belarus and undermining the security of Russia).Lithuania and Poland are neighbours of Belarus and continue to support the Belarusian people. Poland and Lithuania respect the principles of international law and do not intervene in the domestic affairs of any country. On 12 August 2020, the Parliaments of Poland and three Baltic states presented a joint statement protesting against political repressions taking place in Belarus and appealing to organise free and democratic elections in this country. The EU member states perceive the situation in Belarus in a unanimous way, appealing to the Belarusian authorities to stop violence, release political prisoners and organise democratic elections in Belarus. See other examples of similar messages: Poland and Lithuania directly sponsor extremist actions against Belarus, Poland and Lithuania send Belarusian opposition instructions on how to make explosives and CIA, and Pentagon prepares Belarusian protestors in Poland, Ukraine and the Baltic states.","Since Poland and the Baltic states are unable to come up with anything but destructive acts in the post-Soviet space, the main Western countries use the services of these states only when they need these destructive actions. In crisis situations, Poland and the Baltic states are carefully pushed aside and the West solves the problem on its own. This situation always takes place in the case of relations with Russia. Eastern Europe has reconciled with the fact that the leaders of the USA, Germany ",estonian_native,fake,euvsdisinfo-native,et_1200
13.10.2021,/report/nato-will-turn-the-baltic-states-into-the-epicentre-of-the-nuclear-explosion,NATO will turn the Baltic states into the epicentre of the nuclear explosion,"sputniknews.lt, lt.sputniknews.ru","US,Baltic states,Lithuania,Latvia,Estonia","The American strategical bombers in the Lithuanian sky and training attacks on targets near the Russian border are showing that elder NATO's allies are planning to turn the Baltic states into the epicentre of one big nuclear explosion. Regardless of whether NATO achieves the goals or not, the fate of the nations of Lithuania, Latvia, Estonia will be tragic.","A recurring narrative about the Baltic states as puppets of NATO and hostages of the anti-Russian policy of Alliance. The mission of the US strategical bombers B-1B (which can carry nuclear weapons) in Lithuania shows that NATO allies use all capacities to ensure the security of the Baltic states. The exercises aim to practice close air support techniques with Allied Joint Terminal Attack Controllers (JTACs) in Lithuania. It was stressed that “the mission focused on enhancing readiness and interoperability for the controllers responsible for coordinating airstrikes to support ground forces”. There are no reasons to claim that it could lead to the Baltic States turning into an epicentre of a nuclear explosion.See other similar narratives of pro-Kremlin disinformation claiming that the US wants to launch a preventive nuclear attack on Russia, or that the US is pushing NATO to the East and persuade allies to die for nothing, or warnings about Russia's nuclear punishment.","The American strategical bombers in the Lithuanian sky and training attacks on targets near the Russian border are showing that elder NATO's allies are planning to turn the Baltic states into the epicentre of one big nuclear explosion. Regardless of whether NATO achieves the goals or not, the fate of the nations of Lithuania, Latvia, Estonia will be tragic.",estonian_native,fake,euvsdisinfo-native,et_1407
11.10.2021,/report/the-usa-creates-its-lobby-within-the-eu-by-deploying-forces-in-the-baltic-states,The USA creates its lobby within the EU by deploying forces in the Baltic states,pl.sputniknews.com,"Poland,Russia,US,Lithuania,Latvia,Estonia,EU","One of the tasks [of the American policy] is to weaken Russia, isolate it from global geopolitical processes and gain some profits from the sale of American LNG to Europe (that is the reason for the fight against Nord Stream 2). Taking into consideration the fact that the European Union is an American competitor, the USA creates its own lobby within the EU by deploying its forces in the Baltic states. Above all, Poland is such an American Trojan horse in Eastern Europe. Finally, the intimidation with alleged Russian aggression creates an opportunity to sell American weapons to Poland. Recently, Poland purchased 250 Abrams tanks because “it felt threatened by Russia and Belarus”.","A common pro-Kremlin narrative on “lost sovereignty”. Poland and the Baltic states are often presented as “puppet-states” and “Trojan horses” of the United States in Europe, which promote anti-EU and anti-Russian policies of Washington. The claim that the USA deploys its troops in the Baltic states in order to “weaken the EU as its competitor” is ungrounded. The claim that the USA is trying to weaken Russia and isolate it from global politics is a widespread pro-Kremlin narrative. The United States is the founding member of NATO and plays a crucial role in European and transatlantic security – since the end of WWII, the US troops based in Europe have helped guarantee the security of its European allies. NATO has enhanced its forward presence in the eastern part of the Alliance, with four multinational battalion-size battlegroups in Estonia, Latvia, Lithuania and Poland, on a rotational basis. These battlegroups, currently led by the United Kingdom, Canada, Germany and the United States respectively and with nearly all allies participating in rotation, demonstrate that an attack on one Ally would be considered as an attack on the whole Alliance. The ongoing modernisation of the Polish Armed Forces and purchases of advanced military equipment is a Polish response to the current security crisis taking place in Eastern Europe – this situation is a result of the Russian annexation of Crimea and military aggression against Ukraine in Donbas. The security situation of Poland has seriously worsened after the outbreak of the “migration crisis” orchestrated by Lukashenka’s regime. According to the position of the Polish authorities, the ongoing situation on the Belarusian border is a hybrid attack on Poland in order to destabilise the country and the entire EU. See other examples of this message claiming that Polish policy towards Ukraine is shaped by the Americans, the US keeps Poland on a short anti-Russian leash, and Poland is a Trojan Horse of the United States.","One of the tasks [of the American policy] is to weaken Russia, isolate it from global geopolitical processes and gain some profits from the sale of American LNG to Europe (that is the reason for the fight against Nord Stream 2). Taking into consideration the fact that the European Union is an American competitor, the USA creates its own lobby within the EU by deploying its forces in the Baltic states. Above all, Poland is such an American Trojan horse in Eastern Europe. Finally, the intimidation",estonian_native,fake,euvsdisinfo-native,et_1434
