claim_id,claim_language,gold_label,claim_text,wiki_context,model,condition,raw_response,verdict
372,hindi,fake,सरकार ने नई भर्तियों की प्रक्रिया पर रोक लगा दी है।,No relevant context found.,google/gemini-2.5-flash-lite,with_context,UNCERTAIN,UNCERTAIN
372,hindi,fake,सरकार ने नई भर्तियों की प्रक्रिया पर रोक लगा दी है।,No relevant context found.,google/gemini-2.5-flash-lite,without_context,UNCERTAIN,UNCERTAIN
372,hindi,fake,सरकार ने नई भर्तियों की प्रक्रिया पर रोक लगा दी है।,No relevant context found.,deepseek/deepseek-v4-flash,with_context,UNCERTAIN,UNCERTAIN
372,hindi,fake,सरकार ने नई भर्तियों की प्रक्रिया पर रोक लगा दी है।,No relevant context found.,deepseek/deepseek-v4-flash,without_context,UNCERTAIN,UNCERTAIN
372,english,fake,The government has stopped the process of new recruitments.,No relevant context found.,google/gemini-2.5-flash-lite,with_context,UNCERTAIN,UNCERTAIN
372,english,fake,The government has stopped the process of new recruitments.,No relevant context found.,google/gemini-2.5-flash-lite,without_context,UNCERTAIN,UNCERTAIN
372,english,fake,The government has stopped the process of new recruitments.,No relevant context found.,deepseek/deepseek-v4-flash,with_context,UNCERTAIN,UNCERTAIN
372,english,fake,The government has stopped the process of new recruitments.,No relevant context found.,deepseek/deepseek-v4-flash,without_context,UNCERTAIN,UNCERTAIN
372,estonian,fake,Valitsus on peatanud uute töötajate värbamise.,No relevant context found.,google/gemini-2.5-flash-lite,with_context,UNCERTAIN,UNCERTAIN
372,estonian,fake,Valitsus on peatanud uute töötajate värbamise.,No relevant context found.,google/gemini-2.5-flash-lite,without_context,UNCERTAIN,UNCERTAIN
372,estonian,fake,Valitsus on peatanud uute töötajate värbamise.,No relevant context found.,deepseek/deepseek-v4-flash,with_context,UNCERTAIN,UNCERTAIN
372,estonian,fake,Valitsus on peatanud uute töötajate värbamise.,No relevant context found.,deepseek/deepseek-v4-flash,without_context,UNCERTAIN,UNCERTAIN
466,hindi,fake,"5 अगस्त को दोपहर सवा 12 बजे प्रधानमंत्री श्री नरेन्द्र मोदी अयोध्या में भगवान श्रीराम के भव्य मंदिर के लिए भूमि पूजन अनुष्ठान करेंगे, इस गौरवमयी अवसर के लिए सज-धज के तैयार है पावन अयोध्या नगरी।।

जय श",No relevant context found.,google/gemini-2.5-flash-lite,with_context,REAL,REAL
466,hindi,fake,"5 अगस्त को दोपहर सवा 12 बजे प्रधानमंत्री श्री नरेन्द्र मोदी अयोध्या में भगवान श्रीराम के भव्य मंदिर के लिए भूमि पूजन अनुष्ठान करेंगे, इस गौरवमयी अवसर के लिए सज-धज के तैयार है पावन अयोध्या नगरी।।

जय श",No relevant context found.,google/gemini-2.5-flash-lite,without_context,REAL,REAL
466,hindi,fake,"5 अगस्त को दोपहर सवा 12 बजे प्रधानमंत्री श्री नरेन्द्र मोदी अयोध्या में भगवान श्रीराम के भव्य मंदिर के लिए भूमि पूजन अनुष्ठान करेंगे, इस गौरवमयी अवसर के लिए सज-धज के तैयार है पावन अयोध्या नगरी।।

जय श",No relevant context found.,deepseek/deepseek-v4-flash,with_context,[API_ERROR: 'NoneType' object has no attribute 'strip'],UNPARSEABLE
466,hindi,fake,"5 अगस्त को दोपहर सवा 12 बजे प्रधानमंत्री श्री नरेन्द्र मोदी अयोध्या में भगवान श्रीराम के भव्य मंदिर के लिए भूमि पूजन अनुष्ठान करेंगे, इस गौरवमयी अवसर के लिए सज-धज के तैयार है पावन अयोध्या नगरी।।

जय श",No relevant context found.,deepseek/deepseek-v4-flash,without_context,REAL,REAL
466,english,fake,"On August 5, at 12.15 pm, Prime Minister Shri Narendra Modi will perform the Bhoomi Pujan ritual for the grand temple of Lord Shri Ram in Ayodhya. The holy city of Ayodhya is ready for this glorious o",No relevant context found.,google/gemini-2.5-flash-lite,with_context,UNCERTAIN,UNCERTAIN
466,english,fake,"On August 5, at 12.15 pm, Prime Minister Shri Narendra Modi will perform the Bhoomi Pujan ritual for the grand temple of Lord Shri Ram in Ayodhya. The holy city of Ayodhya is ready for this glorious o",No relevant context found.,google/gemini-2.5-flash-lite,without_context,REAL,REAL
466,english,fake,"On August 5, at 12.15 pm, Prime Minister Shri Narendra Modi will perform the Bhoomi Pujan ritual for the grand temple of Lord Shri Ram in Ayodhya. The holy city of Ayodhya is ready for this glorious o",No relevant context found.,deepseek/deepseek-v4-flash,with_context,UNCERTAIN,UNCERTAIN
466,english,fake,"On August 5, at 12.15 pm, Prime Minister Shri Narendra Modi will perform the Bhoomi Pujan ritual for the grand temple of Lord Shri Ram in Ayodhya. The holy city of Ayodhya is ready for this glorious o",No relevant context found.,deepseek/deepseek-v4-flash,without_context,REAL,REAL
466,estonian,fake,5. augustil kell 12.15 viib peaminister Shri Narendra Modi läbi Bhoomi Pujani rituaali Lord Shri Rami suurejoonelise templi jaoks Ayodhyas. Püha linn Ayodhya on selleks kuulsusrikkaks sündmuseks valmi,No relevant context found.,google/gemini-2.5-flash-lite,with_context,UNSURE,UNPARSEABLE
466,estonian,fake,5. augustil kell 12.15 viib peaminister Shri Narendra Modi läbi Bhoomi Pujani rituaali Lord Shri Rami suurejoonelise templi jaoks Ayodhyas. Püha linn Ayodhya on selleks kuulsusrikkaks sündmuseks valmi,No relevant context found.,google/gemini-2.5-flash-lite,without_context,REAL,REAL
466,estonian,fake,5. augustil kell 12.15 viib peaminister Shri Narendra Modi läbi Bhoomi Pujani rituaali Lord Shri Rami suurejoonelise templi jaoks Ayodhyas. Püha linn Ayodhya on selleks kuulsusrikkaks sündmuseks valmi,No relevant context found.,deepseek/deepseek-v4-flash,with_context,[API_ERROR: 'NoneType' object has no attribute 'strip'],UNPARSEABLE
466,estonian,fake,5. augustil kell 12.15 viib peaminister Shri Narendra Modi läbi Bhoomi Pujani rituaali Lord Shri Rami suurejoonelise templi jaoks Ayodhyas. Püha linn Ayodhya on selleks kuulsusrikkaks sündmuseks valmi,No relevant context found.,deepseek/deepseek-v4-flash,without_context,FAKE,FAKE
2550,hindi,fake,"रिपब्लिक पोल नाम के एक नकली ट्विटर अकाउंट अपने विवादास्पद पोल के कारण नेटिज़न्स के गुस्से का शिकार बन रहा है। पत्रकारों सहित कई ट्विटर यूज़र इस अकाउंट को चैनल का आधिकारिक अकाउंट मान रहे हैं।

",No relevant context found.,google/gemini-2.5-flash-lite,with_context,UNCERTAIN,UNCERTAIN
2550,hindi,fake,"रिपब्लिक पोल नाम के एक नकली ट्विटर अकाउंट अपने विवादास्पद पोल के कारण नेटिज़न्स के गुस्से का शिकार बन रहा है। पत्रकारों सहित कई ट्विटर यूज़र इस अकाउंट को चैनल का आधिकारिक अकाउंट मान रहे हैं।

",No relevant context found.,google/gemini-2.5-flash-lite,without_context,REAL,REAL
