claim_id,claim_language,majority_verdict,agreement_count,total_calls,agreement_rate,difficulty
123,english,FAKE,4,4,1.0,easy
123,estonian,FAKE,2,2,1.0,easy
123,hindi,FAKE,1,1,1.0,easy
153,english,FAKE,3,4,0.75,easy
153,estonian,FAKE,2,3,0.6666666666666666,medium
153,hindi,UNCERTAIN,2,2,1.0,easy
298,english,FAKE,2,3,0.6666666666666666,medium
298,estonian,FAKE,3,4,0.75,easy
298,hindi,FAKE,2,4,0.5,medium
372,english,UNCERTAIN,4,4,1.0,easy
372,estonian,UNCERTAIN,2,2,1.0,easy
372,hindi,UNCERTAIN,2,2,1.0,easy
466,english,REAL,3,4,0.75,easy
466,estonian,REAL,3,3,1.0,easy
466,hindi,REAL,3,3,1.0,easy
1266,english,FAKE,2,2,1.0,easy
1266,estonian,FAKE,2,3,0.6666666666666666,medium
1266,hindi,FAKE,3,3,1.0,easy
1806,english,UNCERTAIN,2,3,0.6666666666666666,medium
1806,estonian,FAKE,3,3,1.0,easy
1806,hindi,FAKE,2,2,1.0,easy
2380,english,REAL,1,2,0.5,medium
2380,estonian,REAL,1,3,0.3333333333333333,hard
2380,hindi,REAL,2,3,0.6666666666666666,medium
2550,english,FAKE,2,5,0.4,hard
2550,estonian,UNCERTAIN,2,4,0.5,medium
2550,hindi,FAKE,2,3,0.6666666666666666,medium
3364,english,REAL,1,2,0.5,medium
3364,estonian,REAL,1,3,0.3333333333333333,hard
3364,hindi,REAL,1,2,0.5,medium
3509,english,FAKE,2,3,0.6666666666666666,medium
3509,estonian,FAKE,2,3,0.6666666666666666,medium
3509,hindi,FAKE,4,4,1.0,easy
3700,english,FAKE,3,4,0.75,easy
3700,estonian,UNCERTAIN,1,2,0.5,medium
3700,hindi,UNCERTAIN,1,2,0.5,medium
4258,english,REAL,3,3,1.0,easy
4258,estonian,REAL,2,3,0.6666666666666666,medium
4258,hindi,REAL,2,2,1.0,easy
4262,english,UNCERTAIN,2,4,0.5,medium
4262,estonian,FAKE,2,3,0.6666666666666666,medium
4262,hindi,UNCERTAIN,2,3,0.6666666666666666,medium
4344,english,UNCERTAIN,2,2,1.0,easy
4344,estonian,UNCERTAIN,3,3,1.0,easy
4344,hindi,UNCERTAIN,1,2,0.5,medium
4394,english,FAKE,3,3,1.0,easy
4394,estonian,FAKE,2,2,1.0,easy
4394,hindi,FAKE,2,3,0.6666666666666666,medium
4888,english,FAKE,2,3,0.6666666666666666,medium
4888,estonian,FAKE,2,2,1.0,easy
4888,hindi,UNCERTAIN,1,1,1.0,easy
5212,english,FAKE,3,3,1.0,easy
5212,estonian,FAKE,2,2,1.0,easy
5212,hindi,FAKE,3,3,1.0,easy
5273,english,UNCERTAIN,3,3,1.0,easy
5273,estonian,UNCERTAIN,1,1,1.0,easy
5273,hindi,UNCERTAIN,3,4,0.75,easy
5583,english,UNCERTAIN,1,2,0.5,medium
5583,estonian,FAKE,3,4,0.75,easy
5583,hindi,FAKE,1,1,1.0,easy
