claim_id,claim_language,gold_label,claim_text,model,instruction_language,raw_response,verdict
153,hindi,fake,"नसीरुद्दीन शाह की भी बिगड़ी तबियत , अस्पताल में भर्ती। हे ईश्वर अब कोई ऐसी खबर मत देना क्योंकि सहने की भी छमता होती है  ईश्वर आपको लंबी उम्र दे",google/gemini-2.5-flash-lite,instruction_english,UNCERTAIN,UNCERTAIN
153,hindi,fake,"नसीरुद्दीन शाह की भी बिगड़ी तबियत , अस्पताल में भर्ती। हे ईश्वर अब कोई ऐसी खबर मत देना क्योंकि सहने की भी छमता होती है  ईश्वर आपको लंबी उम्र दे",google/gemini-2.5-flash-lite,instruction_hindi,UNCERTAIN,UNCERTAIN
153,hindi,fake,"नसीरुद्दीन शाह की भी बिगड़ी तबियत , अस्पताल में भर्ती। हे ईश्वर अब कोई ऐसी खबर मत देना क्योंकि सहने की भी छमता होती है  ईश्वर आपको लंबी उम्र दे",google/gemini-2.5-flash-lite,instruction_estonian,UNCERTAIN,UNCERTAIN
153,hindi,fake,"नसीरुद्दीन शाह की भी बिगड़ी तबियत , अस्पताल में भर्ती। हे ईश्वर अब कोई ऐसी खबर मत देना क्योंकि सहने की भी छमता होती है  ईश्वर आपको लंबी उम्र दे",deepseek/deepseek-v4-flash,instruction_english,UNCERTAIN,UNCERTAIN
153,hindi,fake,"नसीरुद्दीन शाह की भी बिगड़ी तबियत , अस्पताल में भर्ती। हे ईश्वर अब कोई ऐसी खबर मत देना क्योंकि सहने की भी छमता होती है  ईश्वर आपको लंबी उम्र दे",deepseek/deepseek-v4-flash,instruction_hindi,[API_ERROR: 'NoneType' object has no attribute 'strip'],UNPARSEABLE
153,hindi,fake,"नसीरुद्दीन शाह की भी बिगड़ी तबियत , अस्पताल में भर्ती। हे ईश्वर अब कोई ऐसी खबर मत देना क्योंकि सहने की भी छमता होती है  ईश्वर आपको लंबी उम्र दे",deepseek/deepseek-v4-flash,instruction_estonian,UNCERTAIN,UNCERTAIN
2550,hindi,fake,"रिपब्लिक पोल नाम के एक नकली ट्विटर अकाउंट अपने विवादास्पद पोल के कारण नेटिज़न्स के गुस्से का शिकार बन रहा है। पत्रकारों सहित कई ट्विटर यूज़र इस अकाउंट को चैनल का आधिकारिक अकाउंट मान रहे हैं।

",google/gemini-2.5-flash-lite,instruction_english,UNCERTAIN,UNCERTAIN
2550,hindi,fake,"रिपब्लिक पोल नाम के एक नकली ट्विटर अकाउंट अपने विवादास्पद पोल के कारण नेटिज़न्स के गुस्से का शिकार बन रहा है। पत्रकारों सहित कई ट्विटर यूज़र इस अकाउंट को चैनल का आधिकारिक अकाउंट मान रहे हैं।

",google/gemini-2.5-flash-lite,instruction_hindi,REAL,REAL
2550,hindi,fake,"रिपब्लिक पोल नाम के एक नकली ट्विटर अकाउंट अपने विवादास्पद पोल के कारण नेटिज़न्स के गुस्से का शिकार बन रहा है। पत्रकारों सहित कई ट्विटर यूज़र इस अकाउंट को चैनल का आधिकारिक अकाउंट मान रहे हैं।

",google/gemini-2.5-flash-lite,instruction_estonian,UNCERTAIN,UNCERTAIN
2550,hindi,fake,"रिपब्लिक पोल नाम के एक नकली ट्विटर अकाउंट अपने विवादास्पद पोल के कारण नेटिज़न्स के गुस्से का शिकार बन रहा है। पत्रकारों सहित कई ट्विटर यूज़र इस अकाउंट को चैनल का आधिकारिक अकाउंट मान रहे हैं।

",deepseek/deepseek-v4-flash,instruction_english,FAKE,FAKE
2550,hindi,fake,"रिपब्लिक पोल नाम के एक नकली ट्विटर अकाउंट अपने विवादास्पद पोल के कारण नेटिज़न्स के गुस्से का शिकार बन रहा है। पत्रकारों सहित कई ट्विटर यूज़र इस अकाउंट को चैनल का आधिकारिक अकाउंट मान रहे हैं।

",deepseek/deepseek-v4-flash,instruction_hindi,REAL,REAL
2550,hindi,fake,"रिपब्लिक पोल नाम के एक नकली ट्विटर अकाउंट अपने विवादास्पद पोल के कारण नेटिज़न्स के गुस्से का शिकार बन रहा है। पत्रकारों सहित कई ट्विटर यूज़र इस अकाउंट को चैनल का आधिकारिक अकाउंट मान रहे हैं।

",deepseek/deepseek-v4-flash,instruction_estonian,FAKE,FAKE
4258,hindi,fake,"महिंद्रा ने आलोचकों का ध्यान आकर्षित किया क्योंकि उनके ट्वीट में कहा गया था कि इसे बार-बार इस्तेमाल कर सकते हैं और धोने योग्य मास्क में ""वायरस को कम करने"" की क्षमता थी। ये मास्क लिविंगगार्ड नामक कंपनी",google/gemini-2.5-flash-lite,instruction_english,REAL,REAL
4258,hindi,fake,"महिंद्रा ने आलोचकों का ध्यान आकर्षित किया क्योंकि उनके ट्वीट में कहा गया था कि इसे बार-बार इस्तेमाल कर सकते हैं और धोने योग्य मास्क में ""वायरस को कम करने"" की क्षमता थी। ये मास्क लिविंगगार्ड नामक कंपनी",google/gemini-2.5-flash-lite,instruction_hindi,REAL,REAL
4258,hindi,fake,"महिंद्रा ने आलोचकों का ध्यान आकर्षित किया क्योंकि उनके ट्वीट में कहा गया था कि इसे बार-बार इस्तेमाल कर सकते हैं और धोने योग्य मास्क में ""वायरस को कम करने"" की क्षमता थी। ये मास्क लिविंगगार्ड नामक कंपनी",google/gemini-2.5-flash-lite,instruction_estonian,REAL,REAL
4258,hindi,fake,"महिंद्रा ने आलोचकों का ध्यान आकर्षित किया क्योंकि उनके ट्वीट में कहा गया था कि इसे बार-बार इस्तेमाल कर सकते हैं और धोने योग्य मास्क में ""वायरस को कम करने"" की क्षमता थी। ये मास्क लिविंगगार्ड नामक कंपनी",deepseek/deepseek-v4-flash,instruction_english,[API_ERROR: 'NoneType' object has no attribute 'strip'],UNPARSEABLE
4258,hindi,fake,"महिंद्रा ने आलोचकों का ध्यान आकर्षित किया क्योंकि उनके ट्वीट में कहा गया था कि इसे बार-बार इस्तेमाल कर सकते हैं और धोने योग्य मास्क में ""वायरस को कम करने"" की क्षमता थी। ये मास्क लिविंगगार्ड नामक कंपनी",deepseek/deepseek-v4-flash,instruction_hindi,[API_ERROR: 'NoneType' object has no attribute 'strip'],UNPARSEABLE
4258,hindi,fake,"महिंद्रा ने आलोचकों का ध्यान आकर्षित किया क्योंकि उनके ट्वीट में कहा गया था कि इसे बार-बार इस्तेमाल कर सकते हैं और धोने योग्य मास्क में ""वायरस को कम करने"" की क्षमता थी। ये मास्क लिविंगगार्ड नामक कंपनी",deepseek/deepseek-v4-flash,instruction_estonian,FAKE,FAKE
