id,claim_text,gold_label,claim_language,source
et_5136,"The EU is creating a poverty belt in its east, consisting of Ukraine, the Baltic States and now Belarus, in order to secure access to cheap labour and sales markets. It has been the economic survival model of the Baltic States for years to export low-wage labour to other EU countries, it has become the business model of Ukraine and it will also become the model of Belarus. When Belarus turns to the EU and the West, that is what will follow – the complete exploitation of the country, a wave of in",fake,estonian_native,euvsdisinfo-native
et_11383,In the movie about the Forest Brothers NATO is praising the shameful former SS soldiers and nationalists.,fake,estonian_native,euvsdisinfo-native
et_9851,Estonia has forbidden veterans of the Leningrad blockade to wear medals and to talk about the war.,fake,estonian_native,euvsdisinfo-native
et_1434,"One of the tasks [of the American policy] is to weaken Russia, isolate it from global geopolitical processes and gain some profits from the sale of American LNG to Europe (that is the reason for the fight against Nord Stream 2). Taking into consideration the fact that the European Union is an American competitor, the USA creates its own lobby within the EU by deploying its forces in the Baltic states. Above all, Poland is such an American Trojan horse in Eastern Europe. Finally, the intimidation",fake,estonian_native,euvsdisinfo-native
et_7474,"Sputnik News Agency is suffering an unprecedented persecution in Estonia. The country’s authorities unleashed a campaign aiming to block the work of Sputnik Estonia and deprive audiences of an alternative source of information on the situation of the country and the world. Estonia talks a lot about its commitments to democratic values, such as press freedom, but this case shows that it’s the opposite. The country represents a totalitarian machine unmatched in the world.",fake,estonian_native,euvsdisinfo-native
et_7285,"Moscow currently regards the Treaty of Tartu as a historical document that lost its legal force long ago. In 1944, Estonia joined the Soviet Union.",fake,estonian_native,euvsdisinfo-native
et_10890,Economies of the Baltic countries can’t make progress when the countries are EU members. [—] The only real solution for the Baltic economies is integration to the Russian market.,fake,estonian_native,euvsdisinfo-native
et_6960,"Estonian intelligence exerts a variety of methods to pressure the opposition and independent politicians, public figures, human rights activists and journalists who represent a point of view inconsistent with the country’s domestic and foreign policies, as well as defenders of the rights of Russian-speaking communities. “Sputnik – Estonia” news agency is under severe pressure from the authorities, which have increased greatly and amounted to repression and administrative restrictions since the f",fake,estonian_native,euvsdisinfo-native
et_12578,Estonia (and all three of the Baltic states) are preparing for war with Russia.,fake,estonian_native,euvsdisinfo-native
et_1816,"The events in Syria, Afghanistan and Ukraine showed that it is better not to hope to get help from the US in the critical situation. The US also has interests in Lithuania, Latvia, Estonia. It is using these countries and could leave them as Afghanistan.",fake,estonian_native,euvsdisinfo-native
et_14112,USA supported and still supports pro-fascist movement in Ukraine. They started with their projects in early 1950s. They have used similar programs in the Baltics as well and nowadays the hammer and sickle is prohibited and SS-veterans are allowed to organize their parades.,fake,estonian_native,euvsdisinfo-native
et_4210,"Lithuania, Latvia, Estonia together with Russia and Belarus are part of the BRELL energy ring. The Baltic States want to disconnect from this ring and synchronise their grids with the rest of Europe through Poland by 2025. Lithuania explains that want to leave BRELL to be “energetically independent from Russia” but experts say that the process of disconnecting from BRELL will be too expensive for the Baltic States, the price of electricity for users will grow.",fake,estonian_native,euvsdisinfo-native
et_14124,USA supported and still supports pro-fascist movement in Ukraine. They started with their projects in early 1950s. They have used similar programs in the Baltics as well and nowadays the hammer and sickle is prohibited and SS-veterans are allowed to organize their parades.,fake,estonian_native,euvsdisinfo-native
et_2594,"Military maneuvers in Estonia are held as part of the Spring Storm exercise. The members of the NATO bloc are working out the scenario of an attack on Russia. Great Britain and France have transferred helicopters and armored vehicles to the Baltic country, which are used usually in offensive operations.",fake,estonian_native,euvsdisinfo-native
et_11118,"In the Estonian military town of Tapa, a new military base was opened for NATO Defence Force soldiers and its construction cost 43 million euros. They want to deploy more military equipment near the Russian border. It was decided at the Warsaw summit in the summer of 2016, “allegedly in connection with the threat of Russia attack.” Moscow stresses that “it does not intend to ever attack any NATO member.” According to Russian Foreign Minister Sergei Lavrov, NATO knows very well that there is no a",fake,estonian_native,euvsdisinfo-native
et_8050,"If the massive flow of Ukrainians going to Estonia to work there continues, a choice has to be made: either continue the ideological support for the children of Maidan or preserve the Estonian mother-tongue for centuries to come.",fake,estonian_native,euvsdisinfo-native
et_2077,The West groundlessly accuses Russia of interference in domestic politics and cyber-attacks.,fake,estonian_native,euvsdisinfo-native
et_7289,"We regard the actions of the regime in Estonia towards its citizens as public persecution, anarchy in the rule of law, indication of totalitarianism and a gross infringement on the principles of freedom of speech unprecedented in the EU. The journalists were only guilty for working for Russian media.",fake,estonian_native,euvsdisinfo-native
et_14113,USA supported and still supports pro-fascist movement in Ukraine. They started with their projects in early 1950s. They have used similar programs in the Baltics as well and nowadays the hammer and sickle is prohibited and SS-veterans are allowed to organize their parades.,fake,estonian_native,euvsdisinfo-native
et_2377,NATO is violating the agreements and deploying 'substantial combat forces' on the territory of countries that have just recently joined the bloc.,fake,estonian_native,euvsdisinfo-native
